Tiempo 0, Proceso 3499
Tiempo 1, Proceso 3499
Tiempo 2, Proceso 9173
Tiempo 3, Proceso 9173
Tiempo 4, Proceso 3499
Tiempo 5, Proceso 9202
Tiempo 6, Proceso 9202
Tiempo 7, Proceso 6839
Tiempo 8, Proceso 6839
Tiempo 9, Proceso 9173
Tiempo 10, Proceso 9173
Tiempo 11, Proceso 5748
Tiempo 12, Proceso 5748
Tiempo 13, Proceso 9202
Tiempo 14, Proceso 9202
Tiempo 15, Proceso 6839
Tiempo 16, Proceso 5748
Tiempo 17, Proceso 5748
Tiempo 18, Proceso 9202
Tiempo 19, Proceso 9202
Tiempo 20, Proceso 5748
