Tiempo 0, Proceso 4321
Tiempo 1, Proceso 4321
Tiempo 2, Proceso 8765
Tiempo 3, Proceso 8765
Tiempo 4, Proceso 1122
Tiempo 5, Proceso 1122
Tiempo 6, Proceso 9988
Tiempo 7, Proceso 9988
Tiempo 8, Proceso 4321
Tiempo 9, Proceso 4321
Tiempo 10, Proceso 8765
Tiempo 11, Proceso 8765
Tiempo 12, Proceso 1122
Tiempo 13, Proceso 1122
Tiempo 14, Proceso 9988
Tiempo 15, Proceso 9988
Tiempo 16, Proceso 4321
Tiempo 17, Proceso 8765
Tiempo 18, Proceso 8765
Tiempo 19, Proceso 1122
Tiempo 20, Proceso 1122
